hours_studied,attendance,homework_completion,previous_scores,sleep_duration,passed
28.16,53.87,54.13,84.4,7.98,0
12.16,89.11,22.52,87.06,9.04,0
9.85,52.94,83.77,70.45,8.94,0
22.5,88.06,58.07,84.36,6.21,1
29.06,92.23,49.32,50.26,5.05,1
17.5,72.49,60.57,62.36,4.68,0
39.25,77.73,33.44,86.32,8.07,1
27.71,91.88,80.48,41.04,9.73,1
19.76,98.53,59.08,55.23,9.78,1
16.29,50.89,84.91,59.91,6.12,0
14.38,56.49,59.1,91.66,6.2,1
29.43,93.21,17.12,47.07,7.28,1
18.1,83.93,76.77,53.61,6.98,0
3.33,63.62,86.06,67.56,5.11,0
16.52,72.26,77.95,65.4,9.45,0
29.78,55.56,44.87,66.14,4.28,0
8.12,51.43,66.55,60.92,4.9,0
7.84,86.6,77.31,45.15,4.55,0
21.73,86.2,29.1,67.02,4.76,0
21.74,84.71,12.71,59.88,6.85,1
25.74,94.22,95.89,83.2,4.66,1
34.13,64.33,93.54,98.63,4.86,1
29.25,71.18,68.24,77.26,5.84,0
24.83,62.53,58.82,78.23,7.26,1
29.18,81.27,96.34,43.11,8.41,1
13.6,81.85,77.78,78.1,8.66,0
15.11,70.39,43.69,66.61,6.38,0
9.9,96.76,87.37,47.23,4.4,0
12.45,74.43,83.45,94.45,5.59,1
25.61,95.88,54.46,67.5,4.75,1
4.59,86.52,35.13,96.73,8.54,0
17.91,96.93,36.26,85.53,8.97,1
17.8,87.89,55.1,75.91,9.4,1
20.25,61.23,87.25,97.41,9.25,0
17.61,84.48,42.37,45.4,5.78,0
13.18,61.92,10.84,68.5,6.99,0
17.63,64.53,32.52,71.69,7.29,1
35.84,61.07,1.02,63.78,8.35,0
37.82,74.82,87.79,87.62,8.62,1
20.57,71.7,24.71,57.08,6.63,1
25.33,95.36,95.87,55.58,5.71,1
5.51,79.66,37.9,44.84,5.64,0
13.37,67.99,53.27,84.86,7.3,0
17.18,81.17,76.06,61.01,8.5,0
34.79,67.08,4.05,48.95,9.86,0
10.77,91.82,41.09,71.99,7.44,1
19.84,54.45,40.11,96.26,5.24,0
39.44,60.94,3.83,98.11,8.93,1
21.26,54.7,70.05,55.14,7.81,1
24.9,93.36,75.91,64.94,6.08,1
5.7,63.6,59.46,51.5,9.37,0
33.23,99.74,42.59,69.67,7.72,1
24.52,57.6,19.56,74.81,7.82,0
22.26,66.21,19.4,66.39,4.79,0
14.37,94.67,67.1,69.83,8.71,1
12.86,81.77,48.62,79.86,9.55,0
17.26,74.74,65.19,61.9,9.67,0
27.57,58.19,91.8,87.91,4.01,0
35.14,89.55,63.69,87.12,6.62,1
20.91,66.65,6.51,51.36,6.08,0
27.1,87.66,66.79,66.19,5.53,1
23.85,79.14,2.0,95.94,4.42,0
25.37,80.83,95.35,47.84,6.14,1
27.31,66.26,26.41,42.23,7.78,0
33.85,53.75,54.02,78.72,9.68,0
4.24,79.77,60.49,77.71,5.79,0
30.78,87.17,21.66,69.48,6.09,1
10.5,78.8,13.44,93.62,7.52,1
8.57,80.06,80.59,75.7,8.82,0
23.33,84.87,69.24,77.36,8.89,1
4.73,52.24,61.18,90.33,7.28,0
35.53,61.18,17.22,41.88,6.41,0
25.46,80.69,75.57,83.24,6.57,1
29.21,56.78,64.67,45.21,8.33,0
1.63,63.51,58.15,63.0,9.82,0
24.18,52.25,45.74,70.66,9.65,0
22.71,60.76,16.43,81.4,7.16,1
7.2,50.58,18.93,44.14,8.43,0
6.97,90.92,82.82,87.42,6.86,1
28.13,79.39,22.08,79.89,6.02,1
13.43,77.33,90.87,49.91,8.16,0
27.99,50.28,15.26,78.06,9.36,0
22.62,92.51,66.74,82.88,6.79,1
16.17,50.0,41.07,68.94,9.11,0
37.08,89.37,62.48,66.35,7.53,1
33.83,60.95,4.44,86.67,6.24,0
14.94,91.01,35.58,91.41,4.87,1
2.7,56.46,19.06,40.74,4.41,0
12.89,77.37,11.69,43.65,9.85,0
16.53,51.47,2.93,90.64,4.47,1
28.49,77.73,4.03,96.2,9.94,1
39.82,56.65,70.27,66.26,8.21,1
14.88,90.31,49.74,72.55,7.88,0
30.74,61.81,31.86,46.18,6.87,0
24.13,55.8,8.75,57.47,9.7,0
27.98,51.52,17.38,82.76,7.44,1
6.89,78.71,27.08,69.07,6.56,0
16.56,83.1,48.66,88.8,6.79,1
10.39,94.74,93.67,56.66,8.93,0
14.39,53.09,33.96,65.68,9.25,0
21.01,69.6,35.68,88.79,7.63,1
27.0,58.15,71.36,91.01,4.1,0
5.13,75.11,48.53,65.47,4.51,0
6.1,61.92,28.25,67.54,9.71,0
13.56,70.55,15.61,54.22,7.34,0
26.8,68.43,3.87,65.53,9.79,0
34.01,84.5,22.12,69.84,7.33,1
22.58,87.1,92.23,58.39,8.77,1
34.32,71.23,99.38,47.39,7.96,1
16.01,62.2,80.42,61.76,8.16,1
